делать,to make,[sound:делать.mp3]
я делаю,I do,
ты делаешь,you do,
он делает,he does,
она делает,she does,
оно делает,it does,
мы делаем,we do,
вы делаете,you all do,
они делают,they do,
завтракать,to have breakfast,[sound:завтракать.mp3]
Я завтракаю,I am having breakfast,
Ты завтракаешь,you are having breakfast,
Он завтракает,he is having breakfast,
Она завтракает,she is having breakfast,
Оно завтракает,it is having breakfast,
Мы завтракаем,we are having breakfast,
Вы завтракете,you all are having breakfast,
Они завтракают,they are having breakfast,
обедать,to have lunch,[sound:обедать.mp3]
я обедаю,I am having lunch,
ты обедаешь,you are having lunch,
Он обедает,he is having lunch,
Она обедает,she is having lunch,
Оно обедает,it is having lunch,
мы обедаем,we are having lunch,
вы обедаете,you all are having lunch,
они обедают,they are having lunch,
ужинать,to have dinner,[sound:ужинать.mp3]
я ужинаю,I am having dinner,
ты ужинаешь,you are having dinner,
он ужинает,he is having dinner,
она ужинает,she is having dinner,
оно ужинает,it is having dinner,
мы ужинаем,we are having dinner,
вы ужинаете,you all are having dinner,
они ужинают,they are having dinner,
понимать,to understand,[sound:понимать.mp3]
Я понимаю,I understand,
Ты понимаешь,you understand,
он понимает,he understands,
она понимает,she understands,
оио понимает,it understands,
мы понимаем,we understand,
вы понимете,you all understand,
они понимают,they understand,
работать,to understand,[sound:работать.mp3]
Я работаю,I work,
Ты раьотаешь,you work,
он работает,he works,
она работает,she works,
оно работает,it works,
мы работаем,we work,
вы работаете,you all work,
они работают,they work,
думать,to think,[sound:думать.mp3]
Я думаю,I think,
Ты думаешь,you think,
Он думает,he thinks,
Она думает,she thinks,
оно думает,it thinks,
мы думаем,we think,
вы думаете,you all think,
они думают,they think,
читать,to read,[sound:читать.mp3]
Я читаю,I read,
Ты читаешь,you read,
Он читает,he reads,
она читает,she reads,
оно читает,it reads,
мы читаем,we read,
вы читаете,you all read,
они читают,they read,
слушать,to listen,[sound:слушать.mp3]
я слушаю,I listen,
ты слушаеш,you listen,
он слушает,he listens,
она слушает,she listens,
оно слушает,it listens,
мы слушаем,we listen,
вы слушаете,you all listen,
они слушают,they listen,
знать,to know,[sound:знать.mp3]
Я знаю,I know,
Ты знаешь,you know,
он знает,he knows,
она знает,she knows,
оно знает,it knows,
мы знаем,we know,
вы знаете,you all know,
они знают,they know,
спрашивать,to ask,[sound:спрашивать.mp3]
я спрашиваю,I ask,
ты спрашиваешь,you ask,
он спрашивает,he asks,
она спрашивает,she asks,
оно спрашивает,it asks,
мы спрашиваем,we ask,
вы спрашиваете,you all ask,
они спрашивают,they ask,
отвечать,to respond,[sound:отвечать.mp3]
я отвечаю,I respond,
ты отвечаешь,you respond,
он отвечает,he responds,
она отвечает,she responds,
оно отвечает,it responds,
мы отвечаем,we respond,
вы отвечаете,you all respond,
они отвечают,they respond,
отдыхать,to rest,[sound:отдыхать.mp3]
Я отдыхаю,I rest,
ты отдыхаешь,you rest,
он отдыхает,he rests,
она отдыхает,she rests,
оно отдыхает,it rests,
мы отдыхаем,we rest,
вы отдыхаете,you all rest,
они отдыхают,they rest,
писать,to write,[sound:писать.mp3]
Я пишу,I write,
ты пишешь,you write,
он пишет,he writes,
она пишет,she writes,
оно пишет,it writes,
мы пишем,we write,
вы пишете,you all write,
они пишут,they write,
искать,to look for,[sound:искать.mp3]
я ищу,I am looking for,
ты ищещь,you are looking for,
он ищет,he is looking for,
она ищет,she is looking for ,
оно ищет,it is looking for,
мы ищем,we are looking for,
вы ищете,you all are looking for,
они ищут,they are looking for,
плакать,to cry,[sound:плакать.mp3]
Я плачу,I am crying,
Ты плачешь,you are crying,
он плачет,he is crying,
оно плачет,she is crying,
она плачет,it is crying,
мы плачем,we are crying,
вы плачете,you are crying,
они плачут,they are crying,
резать,to cut,[sound:резать.mp3]
Я режу,I am cutting,
Ты режешь,you are cutting,
Он режет,he is cutting,
она режет,she is cutting,
оно режет,it is cutting,
мы режем,we are cutting,
вы режете,you all are cutting,
они режут,they are cutting,
идти,to go [by foot],[sound:идти.mp3]
я иду,I am going [by foot],
ты идёшь,you are going [by foot],
он идёт,he is going [by foot],
она идём,she is going [by foot],
оно идёте,it is going [by foot],
мы идём,we are going [by foot],
вы идёте,you all are going [by foot],
они идут,they are going [by foot],
жить,to live,[sound:жить.mp3]
Я живу,I am living,
Ты живёшь,you are living,
он живёт,he is living,
она живёт,she is living,
оно живёт,it is living,
мы живём,we are living,
вы живёте,you all are living,
они живут,they are living,
брать,to take,[sound:брать.mp3]
Я беру,I am taking,
ты берёшь,you are taking,
он берёт,he is taking,
она берёт,she is taking,
оно берёт,it is taking,
мы берём,we are taking,
ты берёте,you all are taking,
они берут,they are taking,
петь,to sing,[sound:петь.mp3]
я пою,I am singing,
ты поёшь,you are singing,
он поёт,he is singing,
она поёт,she is singing,
мы поём,we are singing,
вы поёте,you all are singing,
они поют,they are singing,
пробовать,"to try, to sample",[sound:пробовать.mp3]
я пробую,I am trying (sampling),
ты пробуешь,you are trying (sampling),
он пробует,he is trying (sampling),
она пробует,she is trying (sampling),
оно пробует,it is trying (sampling),
мы пробуем,we are trying (sampling),
вы пробуете,you all are trying (sampling),
они пробуют,they are trying (sampling),
рисовать,to draw,[sound:рисовать.mp3]
я рисую,I am drawing,
ты рисуешь,you are drawing,
он рисует,he is drawing,
она рисует,she is drawing,
оно рисует,it is drawing,
мы рисуем,we are drawing,
вы рисуете,you all are drawing,
они рисуют,they are drawing,
танцевать,to dance,[sound:танцевать.mp3]
я танцую,I am dancing,
ты танцуешь,you are dancing,
он танцует,he is dancing,
она танцует,she is dancing,
оно танцует,it is dancing,
мы танцуем,we are dancing,
вы танцует,you all are dancing,
они танцуют,they are dancing,
организовать,to organize,[sound:организовать.mp3]
я организую,I am organizing,
ты организуешь,you are organizing,
он организует,he is organizing,
она организует,she is organizing,
оно организует,it is organizing,
мы организуем,we are organizing,
вы организуете,you all are organizing,
они организуют,they are organizing,
путешествовать,to travel,[sound:путешествовать.mp3]
Я путешествовую,I am traveling,
Ты путешествовуешь,you are traveling,
Он путешествовует,he is traveling,
она путешествовует,she is traveling,
оно путешествовует,it is traveling,
мы путешествовуем,we are traveling,
вы путешествовуете,you all are traveling,
они путешествовуют,they are traveling,
стоять,to stand,[sound:стоять.mp3]
Я стою,I am standing,
ты стоишь,you are standing,
он стоит,he is standing,
она стоит,she is standing,
оно стоит,it is standing,
мы стоим,we are standing,
Вы стоите,you all are standing,
они стоят,they are standing,
строить,to build,[sound:строить.mp3]
Я строю,I am building,
Ты строишь,you are building,
он строит,he is building,
она строит,she is building,
оно строит,it is building,
мы строим,we are building,
вы строите,you all are building,
они строят,they are building,
стоить,to cost,[sound:стоить.mp3]
он стоит,he costs,
она стоит,she costs,
оно стоит,it costs,
говорить,to speak,[sound:говорить.mp3]
я говорю,I am speaking,
ты говоришь,you are speaking,
он говорит,he is speaking,
она говорит,she is speaking,
оно говорит,it is speaking,
мы говорим,we are speaking,
вы говорите,you all are speaking,
они говорят,they are speaking,
смотреть,to watch/look (at),[sound:смотреть.mp3]
Я смотрю,I am watching,
ты смотришь,you are watching,
он смотрит,he is watching,
она смотрит,she is watching,
оно смотрит,it is watching,
мы смотрим,we are watching,
вы смотрите,you all are watching,
они смотрят,they are watching,
звонить,to call on the phone,[sound:звонить.mp3]
я звонию,I am calling on the phone,
ты звонишь,you are calling on the phone,
он звонит,he is calling on the phone,
она звонит,she is calling on the phone,
оно звонит,it is calling on the phone,
мы звоним,we are calling on the phone,
вы звоните,you all are calling on the phone,
они звонят,they are calling on the phone,
слышать,to hear,[sound:слышать.mp3]
я слышу,I hear,
ты слышишь,you hear,
он слышит,he hears,
она слышит,she hears,
оно слышит,it hears,
мы слышим,we hear,
вы слышите,you all hear,
они слышат,they hear,
спешить,to hurry,[sound:спешить.mp3]
я спешу,I am hurring,
ты спешишь,you are hurrying,
он спешит,he is hurrying,
она спешит,she is hurrying,
оно спешит,it is hurrying,
мы спешим,we are hurrying,
вы спешите,you all are hurrying,
они спешат,they are hurrying,
видеть,to see,[sound:видеть.mp3]
Я вижу,I am seeing,
ты видишь,you are seeing,
он видит,he is seeing,
она видит,she is seeing,
оно видит,it is seeing,
мы видим,we are seeing,
вы видите,you all are seeing,
они видят,they are seeing,
сидеть,to be sitting,[sound:сидеть.mp3]
я сижу,I am sitting,
ты сидишь,you are sitting,
он сидит,he is sitting,
она сидит,she is sitting,
оно сидит,it is sitting,
мы сидим,we are sitting,
вы сидите,you all are sitting,
они сидят,they are sitting,
просить,to ask/request,[sound:просить.mp3]
я прошу,I am asking/requesting,
ты просишь,you are asking/requesting,
он просит,he is asking/requesting,
она просит,she is asking/requesting,
оно просит,it is asking/requesting,
мы просим,we are asking/requesting,
вы просите,you all are asking/requesting,
они просят,they are asking/requesting,
носить,to carry/wear,[sound:носить.mp3]
я ношу,I am carrying/wearing,
ты носишь,you all are carrying/wearing,
он носит,he is carrying/wearing,
она носит,she is carrying/wearing,
оно носит,it is carrying/wearing,
мы носим,we are carrying/wearing,
вы носите,you all are carrying/wearing,
они носят,they are carrying/wearing,
водить,to drive,[sound:водить.mp3]
Я вожу,I am driving,
ты водишь,you are driving,
он водит,he is driving,
она водит,she is driving,
оно водит,it is driving,
мы водим,we are driving,
вы водите,you all are driving,
они водят,they are driving,
любить,to love/like,[sound:любить.mp3]
я люблю,I love,
ты любишь,you love,
он любит,he loves,
она любит,she loves,
оно любит,it loves,
мы любим,we love,
вы любите,you all love,
они любят,they love,
спать,to sleep,[sound:спать.mp3]
я сплю,I am sleeping,
ты спишь,you are sleeping,
он спит,he is sleeping,
она спит,she is sleeping,
оно спит,it is sleeping,
мы спим,we are sleeping,
вы спите,you all are sleeping,
они спят,they are sleeping,
Готовить,to prepare/cook,[sound:Готовить.mp3]
я готовлю,I prepare,
ты готовишь,you prepare,
он готовит,he prepares,
она готовит,she prepares,
оно готовит,it prepares,
мы готовим,we prepare,
ты готовите,you all prepare,
они готовят,they prepare,
мочь,"to be able to, can",[sound:мочь.mp3]
я могу,"I am able to, I can",
ты можешь,"you are able to, you can",
он может,"he is able to, he can",
она может,"she is able to, she can",
оно может,"it is able to, it can",
мы можем,"we are able to, we can",
вы можете,"you all are able to, you all can",
они могут,"they are able to, they can",
хотеть,to want,[sound:хотеть.mp3]
я хочу,I want ,
ты хочешь,you want,
он хочет,he wants,
она хочет,she wants,
оно хочет,it wants,
мы хочим,we want,
вы хочите,you all want,
они хотят,they want,
